Latitude,Longitude
35.399746,-108.23943
3?5.43515,-108.33768
35.48043,-108.43657
35.51404,-108.548515
35.529408,-108.663994
35.524555,-108.774
35.50563,-108.8337
35.497463,-108.853386
35.451485,-108.95172
35.37906,-109.02424
35.312267,-109.10332
35.28295,-109.21075
35.237488,-109.30385
35.19684,-109.406654
35.150784,-109.50751
35.105118,-109.6093
35.080444,-109.72176
35.068146,-109.7799
35.069187,-109.79315
35.01385,-109.80117
34.954987,-109.78798
34.906696,-109.78607
34.86387,-109.791916
34.86426,-109.79055
34.864555,-109.788216
34.865463,-109.7886
34.865383,-109.79059
34.86386,-109.791916
34.86384,-109.7919
34.863865,-109.79192
34.864246,-109.79217
34.91357,-109.78531
34.961876,-109.79239
34.97666,-109.7?93625
35.035652,-109.80047
35.082973,-109.79599
35.05457,-109.79178
35.0032,-109.888664
34.990112,-110.00253
34.957638,-110.109436
34.906662,-110.18439
34.934166,-110.27489
34.96058,-110.37771
34.97238,-110.49292
35.002277,-110.604546
35.03955,-110.70563
35.062527,-110.81819
35.094273,-110.92995
35.104668,-110.99273
35.104343,-110.993546
35.104343,-110.993546
35.104343,-110.993546
35.104343,-110.993546
35.104343,-110.993546
35.104343,-110.993546
35.104343,-110.993546
35.10435,-110.99352
35.11046,-111.03123
35.120113,-111.148506
35.156322,-111.25748
35.185356 ,-111.36597
35.20228,-111.479034
35.218845,-111.567505
35.173252,-111.64842
35.198456,-111.74428
35.244923,-111.84041
35.252636,-111.952156
35.264534,-112.062195
35.264168,-112.175354
35.222134,-112.2726
35.21601,-112.386925
35.220924,-112.50261
35.23391,-112.619255
35.265907,-112.72451
35.297054,-112.8323
35.321728,-112.93988
35.292442,-113.043144
35.269684,-113.146935
35.22194,-113.24443
35.191174,-113.34419
35.185463,-113.45379
35.15884,-113.55959
35.161694,-113.6727
35.17436,-113.7846
35.19728,-113.89282
35.1?99104,-113.90408
35.20313,-113.93608
35.217224,-114.017426
35.202682,-114.08512
35.255993,-114.15707
35.32717,-114.20873
35.398876,-114.2606
35.471317,-114.3119
35.544163,-114.36227
35.61536,-114.41524
35.686275,-114.468666
35.76157,-114.50767
35.83039,-114.56158
